codmun;coduf;regiao;estado;municipio;populacao;latitude;longitude
110000.0;11;Norte;RO;;;;
110001.0;11;Norte;RO;Alta Floresta D'Oeste;22945.0;;
110002.0;11;Norte;RO;Ariquemes;107863.0;;
110003.0;11;Norte;RO;Cabixi;5312.0;;
110004.0;11;Norte;RO;Cacoal;85359.0;;
110005.0;11;Norte;RO;Cerejeiras;16323.0;;
110006.0;11;Norte;RO;Colorado do Oeste;15882.0;;
110007.0;11;Norte;RO;Corumbiara;7391.0;;
110008.0;11;Norte;RO;Costa Marques;18331.0;;
110009.0;11;Norte;RO;Espigão D'Oeste;32374.0;;
110010.0;11;Norte;RO;Guajará-Mirim;46174.0;;
110011.0;11;Norte;RO;Jaru;51775.0;;
110012.0;11;Norte;RO;Ji-Paraná;128969.0;;
110013.0;11;Norte;RO;Machadinho D'Oeste;39991.0;;
110014.0;11;Norte;RO;Nova Brasilândia D'Oeste;20474.0;;
110015.0;11;Norte;RO;Ouro Preto do Oeste;36035.0;;
110018.0;11;Norte;RO;Pimenta Bueno;36660.0;;
110020.0;11;Norte;RO;Porto Velho;529544.0;;
110025.0;11;Norte;RO;Presidente Médici;18986.0;;
110026.0;11;Norte;RO;Rio Crespo;3764.0;;
110028.0;11;Norte;RO;Rolim de Moura;55058.0;;
110029.0;11;Norte;RO;Santa Luzia D'Oeste;6495.0;;
110030.0;11;Norte;RO;Vilhena;99854.0;;
110032.0;11;Norte;RO;São Miguel do Guaporé;23005.0;;
110033.0;11;Norte;RO;Nova Mamoré;30583.0;;
110034.0;11;Norte;RO;Alvorada D'Oeste;14411.0;;
110037.0;11;Norte;RO;Alto Alegre dos Parecis;13241.0;;
110040.0;11;Norte;RO;Alto Paraíso;21428.0;;
110045.0;11;Norte;RO;Buritis;39654.0;;
110050.0;11;Norte;RO;Novo Horizonte do Oeste;8538.0;;
110060.0;11;Norte;RO;Cacaulândia;6230.0;;
110070.0;11;Norte;RO;Campo Novo de Rondônia;14139.0;;
110080.0;11;Norte;RO;Candeias do Jamari;26693.0;;
110090.0;11;Norte;RO;Castanheiras;3052.0;;
110092.0;11;Norte;RO;Chupinguaia;11182.0;;
110094.0;11;Norte;RO;Cujubim;25215.0;;
110100.0;11;Norte;RO;Governador Jorge Teixeira;7767.0;;
110110.0;11;Norte;RO;Itapuã do Oeste;10458.0;;
110120.0;11;Norte;RO;Ministro Andreazza;9660.0;;
110130.0;11;Norte;RO;Mirante da Serra;10947.0;;
110140.0;11;Norte;RO;Monte Negro;15852.0;;
110143.0;11;Norte;RO;Nova União;6970.0;;
110145.0;11;Norte;RO;Parecis;6074.0;;
110146.0;11;Norte;RO;Pimenteiras do Oeste;2169.0;;
110147.0;11;Norte;RO;Primavera de Rondônia;2856.0;;
110148.0;11;Norte;RO;São Felipe D'Oeste;5172.0;;
110149.0;11;Norte;RO;São Francisco do Guaporé;20266.0;;
110150.0;11;Norte;RO;Seringueiras;11856.0;;
110155.0;11;Norte;RO;Teixeirópolis;4308.0;;
110160.0;11;Norte;RO;Theobroma;10444.0;;
110170.0;11;Norte;RO;Urupá;11467.0;;
110175.0;11;Norte;RO;Vale do Anari;11204.0;;
110180.0;11;Norte;RO;Vale do Paraíso;6825.0;;
120001.0;12;Norte;AC;Acrelândia;15256.0;;
120005.0;12;Norte;AC;Assis Brasil;7417.0;;
120010.0;12;Norte;AC;Brasiléia;26278.0;;
120013.0;12;Norte;AC;Bujari;10266.0;;
120017.0;12;Norte;AC;Capixaba;11733.0;;
120020.0;12;Norte;AC;Cruzeiro do Sul;88376.0;;
120025.0;12;Norte;AC;Epitaciolândia;18411.0;;
120030.0;12;Norte;AC;Feijó;34780.0;;
120032.0;12;Norte;AC;Jordão;8317.0;;
120033.0;12;Norte;AC;Mâncio Lima;18977.0;;
120034.0;12;Norte;AC;Manoel Urbano;9459.0;;
120035.0;12;Norte;AC;Marechal Thaumaturgo;18867.0;;
120038.0;12;Norte;AC;Plácido de Castro;19761.0;;
