regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Norte;RO;;11;110000.0;;;2025-09-05;36;;0.0;0;0;0;;;
Norte;RO;Alta Floresta D'Oeste;11;110001.0;11005.0;ZONA DA MATA;2025-09-05;36;22945.0;9359.0;0;85;0;;;0
Norte;RO;Ariquemes;11;110002.0;11001.0;VALE DO JAMARI;2025-09-05;36;107863.0;40634.0;0;570;0;;;0
Norte;RO;Cabixi;11;110003.0;11006.0;CONE SUL;2025-09-05;36;5312.0;2049.0;0;23;0;;;0
Norte;RO;Cacoal;11;110004.0;11002.0;CAFE;2025-09-05;36;85359.0;33247.0;0;364;0;;;0
Norte;RO;Cerejeiras;11;110005.0;11006.0;CONE SUL;2025-09-05;36;16323.0;6915.0;0;74;0;;;0
Norte;RO;Colorado do Oeste;11;110006.0;11006.0;CONE SUL;2025-09-05;36;15882.0;5029.0;0;56;0;;;0
Norte;RO;Corumbiara;11;110007.0;11006.0;CONE SUL;2025-09-05;36;7391.0;2418.0;0;25;0;;;0
Norte;RO;Costa Marques;11;110008.0;11007.0;VALE DO GUAPORE;2025-09-05;36;18331.0;4860.0;0;45;0;;;0
Norte;RO;Espigão D'Oeste;11;110009.0;11002.0;CAFE;2025-09-05;36;32374.0;8274.0;0;94;0;;;0
Norte;RO;Guajará-Mirim;11;110010.0;11004.0;MADEIRA-MAMORE;2025-09-05;36;46174.0;7322.0;0;249;0;;;0
Norte;RO;Jaru;11;110011.0;11003.0;CENTRAL;2025-09-05;36;51775.0;14559.0;0;212;0;;;0
Norte;RO;Ji-Paraná;11;110012.0;11003.0;CENTRAL;2025-09-05;36;128969.0;37916.0;0;675;0;;;0
Norte;RO;Machadinho D'Oeste;11;110013.0;11001.0;VALE DO JAMARI;2025-09-05;36;39991.0;13590.0;0;134;0;;;0
Norte;RO;Nova Brasilândia D'Oeste;11;110014.0;11005.0;ZONA DA MATA;2025-09-05;36;20474.0;5722.0;0;44;0;;;0
Norte;RO;Ouro Preto do Oeste;11;110015.0;11003.0;CENTRAL;2025-09-05;36;36035.0;9328.0;0;177;0;;;0
Norte;RO;Pimenta Bueno;11;110018.0;11002.0;CAFE;2025-09-05;36;36660.0;14195.0;0;132;0;;;0
Norte;RO;Porto Velho;11;110020.0;11004.0;MADEIRA-MAMORE;2025-09-05;36;529544.0;134365.0;0;2781;0;;;1
Norte;RO;Presidente Médici;11;110025.0;11003.0;CENTRAL;2025-09-05;36;18986.0;7269.0;0;102;0;;;0
Norte;RO;Rio Crespo;11;110026.0;11001.0;VALE DO JAMARI;2025-09-05;36;3764.0;1950.0;0;14;0;;;0
Norte;RO;Rolim de Moura;11;110028.0;11005.0;ZONA DA MATA;2025-09-05;36;55058.0;14808.0;0;215;0;;;0
Norte;RO;Santa Luzia D'Oeste;11;110029.0;11005.0;ZONA DA MATA;2025-09-05;36;6495.0;2665.0;0;32;0;;;0
Norte;RO;Vilhena;11;110030.0;11006.0;CONE SUL;2025-09-05;36;99854.0;26113.0;0;333;0;;;0
Norte;RO;São Miguel do Guaporé;11;110032.0;11003.0;CENTRAL;2025-09-05;36;23005.0;4844.0;0;68;0;;;0
Norte;RO;Nova Mamoré;11;110033.0;11004.0;MADEIRA-MAMORE;2025-09-05;36;30583.0;7438.0;0;99;0;;;0
Norte;RO;Alvorada D'Oeste;11;110034.0;11003.0;CENTRAL;2025-09-05;36;14411.0;4942.0;0;46;0;;;0
Norte;RO;Alto Alegre dos Parecis;11;110037.0;11005.0;ZONA DA MATA;2025-09-05;36;13241.0;2414.0;0;52;0;;;0
Norte;RO;Alto Paraíso;11;110040.0;11001.0;VALE DO JAMARI;2025-09-05;36;21428.0;4864.0;0;66;0;;;0
Norte;RO;Buritis;11;110045.0;11001.0;VALE DO JAMARI;2025-09-05;36;39654.0;14690.0;0;108;0;;;0
Norte;RO;Novo Horizonte do Oeste;11;110050.0;11005.0;ZONA DA MATA;2025-09-05;36;8538.0;1463.0;0;24;0;;;0
Norte;RO;Cacaulândia;11;110060.0;11001.0;VALE DO JAMARI;2025-09-05;36;6230.0;2494.0;0;18;0;;;0
Norte;RO;Campo Novo de Rondônia;11;110070.0;11001.0;VALE DO JAMARI;2025-09-05;36;14139.0;4020.0;0;29;0;;;0
Norte;RO;Candeias do Jamari;11;110080.0;11004.0;MADEIRA-MAMORE;2025-09-05;36;26693.0;6464.0;0;88;0;;;1
Norte;RO;Castanheiras;11;110090.0;11005.0;ZONA DA MATA;2025-09-05;36;3052.0;535.0;0;11;0;;;0
Norte;RO;Chupinguaia;11;110092.0;11006.0;CONE SUL;2025-09-05;36;11182.0;3178.0;0;29;0;;;0
Norte;RO;Cujubim;11;110094.0;11001.0;VALE DO JAMARI;2025-09-05;36;25215.0;5246.0;0;45;0;;;0
Norte;RO;Governador Jorge Teixeira;11;110100.0;11003.0;CENTRAL;2025-09-05;36;7767.0;1428.0;0;22;0;;;0
Norte;RO;Itapuã do Oeste;11;110110.0;11004.0;MADEIRA-MAMORE;2025-09-05;36;10458.0;2591.0;0;21;0;;;0
Norte;RO;Ministro Andreazza;11;110120.0;11002.0;CAFE;2025-09-05;36;9660.0;1428.0;0;16;0;;;0
Norte;RO;Mirante da Serra;11;110130.0;11003.0;CENTRAL;2025-09-05;36;10947.0;2189.0;0;18;0;;;0
Norte;RO;Monte Negro;11;110140.0;11001.0;VALE DO JAMARI;2025-09-05;36;15852.0;4930.0;0;40;0;;;0
Norte;RO;Nova União;11;110143.0;11003.0;CENTRAL;2025-09-05;36;6970.0;1571.0;0;17;0;;;0
Norte;RO;Parecis;11;110145.0;11005.0;ZONA DA MATA;2025-09-05;36;6074.0;911.0;0;10;0;;;0
