ano;semanaEpi;casosNovos;obitosNovos;casosAcumulado;obitosAcumulado;populacao;data_inicio
2020;9;2;0;2.0;0;210147125.0;2020-02-24
2020;10;17;0;19.0;0;210147125.0;2020-02-24
2020;11;102;0;121.0;0;210147125.0;2020-03-02
2020;12;1007;18;1128.0;18;210147125.0;2020-03-09
2020;13;2775;96;3903.0;114;210147125.0;2020-03-16
2020;14;6375;318;10278.0;432;210147125.0;2020-03-23
2020;15;10449;692;20727.0;1124;210147125.0;2020-03-30
2020;16;15872;1223;36599.0;2347;210147125.0;2020-04-06
2020;17;21910;1669;58509.0;4016;210147125.0;2020-04-13
2020;18;37887;2708;96396.0;6724;210147125.0;2020-04-20
2020;19;59543;3903;155939.0;10627;210147125.0;2020-04-27
2020;20;77203;5006;233142.0;15633;210147125.0;2020-05-04
2020;21;114256;6380;347398.0;22013;210147125.0;2020-05-11
2020;22;151042;6821;498440.0;28834;210147125.0;2020-05-18
2020;23;174406;7096;672846.0;35930;210147125.0;2020-05-25
2020;24;177668;6790;850514.0;42720;210147125.0;2020-06-01
2020;25;217065;7256;1067579.0;49976;210147125.0;2020-06-08
2020;26;246088;7094;1313667.0;57070;210147125.0;2020-06-15
2020;27;263337;7195;1577004.0;64265;210147125.0;2020-06-22
2020;28;262846;7204;1839850.0;71469;210147125.0;2020-06-29
2020;29;235010;7303;2074860.0;78772;210147125.0;2020-07-06
2020;30;319653;7677;2394513.0;86449;210147125.0;2020-07-13
2020;31;313364;7114;2707877.0;93563;210147125.0;2020-07-20
2020;32;304535;6914;3012412.0;100477;210147125.0;2020-07-27
2020;33;304684;6755;3317096.0;107232;210147125.0;2020-08-03
2020;34;265266;7018;3582362.0;114250;210147125.0;2020-08-10
2020;35;263791;6212;3846153.0;120462;210147125.0;2020-08-17
2020;36;276847;5741;4123000.0;126203;210147125.0;2020-08-24
2020;37;192687;5007;4315687.0;131210;210147125.0;2020-08-31
2020;38;212553;5322;4528240.0;136532;210147125.0;2020-09-07
2020;39;189751;4874;4717991.0;141406;210147125.0;2020-09-14
2020;40;188842;4581;4906833.0;145987;210147125.0;2020-09-21
2020;41;175804;4211;5082637.0;150198;210147125.0;2020-09-28
2020;42;141725;3477;5224362.0;153675;210147125.0;2020-10-05
2020;43;156273;3228;5380635.0;156903;210147125.0;2020-10-12
2020;44;154970;2981;5535605.0;159884;210147125.0;2020-10-19
2020;45;117956;2385;5653561.0;162269;210147125.0;2020-10-26
2020;46;195398;3389;5848959.0;165658;210147125.0;2020-11-02
2020;47;203827;3331;6052786.0;168989;210147125.0;2020-11-09
2020;48;237486;3572;6290272.0;172561;210147125.0;2020-11-16
2020;49;286905;4067;6577177.0;176628;210147125.0;2020-11-23
2020;50;302950;4495;6880127.0;181123;210147125.0;2020-11-30
2020;51;333028;5233;7213155.0;186356;210147125.0;2020-12-07
2020;52;252651;4439;7465806.0;190795;210147125.0;2020-12-14
2020;53;210167;4154;7675973.0;194949;210147125.0;2020-12-21
2021;1;359593;6906;8075998.0;202631;210147125.0;2020-12-28
2021;2;379061;6665;8455059.0;209296;210147125.0;2021-01-04
2021;3;361195;7149;8816254.0;216445;210147125.0;2021-01-11
2021;4;360721;7500;9176975.0;223945;210147125.0;2021-01-18
2021;5;320820;7067;9497795.0;231012;210147125.0;2021-01-25
2021;6;311959;7520;9809754.0;238532;210147125.0;2021-02-01
2021;7;329394;7445;10139148.0;245977;210147125.0;2021-02-08
2021;8;378084;8244;10517232.0;254221;210147125.0;2021-02-15
2021;9;421604;10104;10938836.0;264325;210147125.0;2021-02-22
2021;10;500722;12777;11439558.0;277102;210147125.0;2021-03-01
2021;11;510901;15650;11950459.0;292752;210147125.0;2021-03-08
2021;12;539903;17798;12490362.0;310550;210147125.0;2021-03-15
2021;13;463235;19643;12953597.0;330193;210147125.0;2021-03-22
2021;14;491409;21141;13445006.0;351334;210147125.0;2021-03-29
2021;15;455085;20344;13900091.0;371678;210147125.0;2021-04-05
2021;16;408124;17814;14308215.0;389492;210147125.0;2021-04-12
2021;17;417760;16945;14725975.0;406437;210147125.0;2021-04-19
2021;18;419904;14879;15145879.0;421316;210147125.0;2021-04-26
2021;19;440655;13399;15586534.0;434715;210147125.0;2021-05-03
2021;20;460905;13493;16047439.0;448208;210147125.0;2021-05-10
2021;21;424161;12849;16471600.0;461057;210147125.0;2021-05-17
2021;22;435825;11474;16907425.0;472531;210147125.0;2021-05-24
2021;23;467393;13741;17374818.0;486272;210147125.0;2021-05-31
2021;24;508932;14528;17883750.0;500800;210147125.0;2021-06-07
2021;25;503144;11935;18386894.0;512735;210147125.0;2021-06-14
2021;26;355131;10852;18742025.0;523587;210147125.0;2021-06-21
2021;27;326978;9306;19069003.0;532893;210147125.0;2021-06-28
2021;28;273445;8373;19342448.0;541266;210147125.0;2021-07-05
2021;29;328086;8182;19670534.0;549448;210147125.0;2021-07-12
2021;30;247321;6922;19917855.0;556370;210147125.0;2021-07-19
2021;31;233924;6382;20151779.0;562752;210147125.0;2021-07-26
2021;32;198363;6036;20350142.0;568788;210147125.0;2021-08-02
2021;33;206345;5421;20556487.0;574209;210147125.0;2021-08-09
2021;34;172118;4801;20728605.0;579010;210147125.0;2021-08-16
2021;35;149259;4352;20877864.0;583362;210147125.0;2021-08-23
2021;36;111300;3196;20989164.0;586558;210147125.0;2021-08-30
2021;37;241161;3950;21230325.0;590508;210147125.0;2021-09-06
2021;38;112979;3692;21343304.0;594200;210147125.0;2021-09-13
2021;39;115813;3523;21459117.0;597723;210147125.0;2021-09-20
2021;40;108064;3106;21567181.0;600829;210147125.0;2021-09-27
2021;41;71545;2323;21638726.0;603152;210147125.0;2021-10-04
2021;42;84833;2305;21723559.0;605457;210147125.0;2021-10-11
2021;43;80535;2237;21804094.0;607694;210147125.0;2021-10-18
2021;44;70230;1694;21874324.0;609388;210147125.0;2021-10-25
2021;45;79514;1834;21953838.0;611222;210147125.0;2021-11-01
2021;46;58312;1365;22012150.0;612587;210147125.0;2021-11-08
2021;47;64713;1599;22076863.0;614186;210147125.0;2021-11-15
2021;48;61384;1384;22138247.0;615570;210147125.0;2021-11-22
2021;49;49932;1174;22188179.0;616744;210147125.0;2021-11-29
2021;50;24164;1010;22212343.0;617754;210147125.0;2021-12-06
2021;51;22283;670;22234626.0;618424;210147125.0;2021-12-13
2021;52;52895;632;22287521.0;619056;210147125.0;2021-12-20
2021;53;40432;776;7716405.0;195725;210147125.0;2020-12-28
2022;1;208018;832;22499525.0;619937;210147125.0;2021-12-27
2022;2;476198;1034;22975723.0;620971;210147125.0;2022-01-03
2022;3;933452;1830;23909175.0;622801;210147125.0;2022-01-10
2022;4;1305447;3723;25214622.0;626524;210147125.0;2022-01-17
2022;5;1258651;5278;26473273.0;631802;210147125.0;2022-01-24
