estado;ano;semanaEpi;casosNovos;obitosNovos;casosAcumulado;obitosAcumulado;populacao;data_inicio
AC;2020;9;0;0;0.0;0;881935.0;2020-02-24
AC;2020;10;0;0;0.0;0;881935.0;2020-02-24
AC;2020;11;0;0;0.0;0;881935.0;2020-03-02
AC;2020;12;9;0;9.0;0;881935.0;2020-03-09
AC;2020;13;16;0;25.0;0;881935.0;2020-03-16
AC;2020;14;21;0;46.0;0;881935.0;2020-03-23
AC;2020;15;26;2;72.0;2;881935.0;2020-03-30
AC;2020;16;70;3;142.0;5;881935.0;2020-04-06
AC;2020;17;116;6;258.0;11;881935.0;2020-04-13
AC;2020;18;295;10;553.0;21;881935.0;2020-04-20
AC;2020;19;782;18;1335.0;39;881935.0;2020-04-27
AC;2020;20;532;20;1867.0;59;881935.0;2020-05-04
AC;2020;21;2000;28;3867.0;87;881935.0;2020-05-11
AC;2020;22;2205;55;6072.0;142;881935.0;2020-05-18
AC;2020;23;1453;59;7525.0;201;881935.0;2020-05-25
AC;2020;24;2009;55;9534.0;256;881935.0;2020-06-01
AC;2020;25;1729;41;11263.0;297;881935.0;2020-06-08
AC;2020;26;1650;54;12913.0;351;881935.0;2020-06-15
AC;2020;27;1574;40;14487.0;391;881935.0;2020-06-22
AC;2020;28;1593;28;16080.0;419;881935.0;2020-06-29
AC;2020;29;1122;38;17202.0;457;881935.0;2020-07-06
AC;2020;30;1455;26;18657.0;483;881935.0;2020-07-13
AC;2020;31;1273;52;19930.0;535;881935.0;2020-07-20
AC;2020;32;1568;24;21498.0;559;881935.0;2020-07-27
AC;2020;33;1018;17;22516.0;576;881935.0;2020-08-03
AC;2020;34;1149;22;23665.0;598;881935.0;2020-08-10
AC;2020;35;936;10;24601.0;608;881935.0;2020-08-17
AC;2020;36;807;16;25408.0;624;881935.0;2020-08-24
AC;2020;37;740;13;26148.0;637;881935.0;2020-08-31
AC;2020;38;913;11;27061.0;648;881935.0;2020-09-07
AC;2020;39;798;8;27859.0;656;881935.0;2020-09-14
AC;2020;40;803;11;28662.0;667;881935.0;2020-09-21
AC;2020;41;369;7;29031.0;674;881935.0;2020-09-28
AC;2020;42;662;5;29693.0;679;881935.0;2020-10-05
AC;2020;43;524;7;30217.0;686;881935.0;2020-10-12
AC;2020;44;579;7;30796.0;693;881935.0;2020-10-19
AC;2020;45;779;6;31575.0;699;881935.0;2020-10-26
AC;2020;46;1416;9;32991.0;708;881935.0;2020-11-02
AC;2020;47;1444;5;34435.0;713;881935.0;2020-11-09
AC;2020;48;1485;10;35920.0;723;881935.0;2020-11-16
AC;2020;49;1357;9;37277.0;732;881935.0;2020-11-23
AC;2020;50;1086;17;38363.0;749;881935.0;2020-11-30
AC;2020;51;1506;9;39869.0;758;881935.0;2020-12-07
AC;2020;52;867;22;40736.0;780;881935.0;2020-12-14
AC;2020;53;884;15;41620.0;795;881935.0;2020-12-21
AC;2021;1;967;25;42908.0;823;881935.0;2020-12-28
AC;2021;2;1713;12;44621.0;835;881935.0;2021-01-04
AC;2021;3;1618;13;46239.0;848;881935.0;2021-01-11
AC;2021;4;2108;16;48347.0;864;881935.0;2021-01-18
AC;2021;5;2107;22;50454.0;886;881935.0;2021-01-25
AC;2021;6;2466;31;52920.0;917;881935.0;2021-02-01
AC;2021;7;1823;40;54743.0;957;881935.0;2021-02-08
AC;2021;8;2594;39;57337.0;996;881935.0;2021-02-15
AC;2021;9;2732;58;60069.0;1054;881935.0;2021-02-22
AC;2021;10;2263;63;62332.0;1117;881935.0;2021-03-01
AC;2021;11;2943;59;65275.0;1176;881935.0;2021-03-08
AC;2021;12;3300;53;68575.0;1229;881935.0;2021-03-15
AC;2021;13;2487;55;71062.0;1284;881935.0;2021-03-22
AC;2021;14;2213;55;73275.0;1339;881935.0;2021-03-29
AC;2021;15;2059;66;75334.0;1405;881935.0;2021-04-05
AC;2021;16;1269;71;76603.0;1476;881935.0;2021-04-12
AC;2021;17;1413;58;78016.0;1534;881935.0;2021-04-19
AC;2021;18;1260;51;79276.0;1585;881935.0;2021-04-26
AC;2021;19;1062;27;80338.0;1612;881935.0;2021-05-03
AC;2021;20;1010;21;81348.0;1633;881935.0;2021-05-10
AC;2021;21;859;24;82207.0;1657;881935.0;2021-05-17
AC;2021;22;1033;29;83240.0;1686;881935.0;2021-05-24
AC;2021;23;864;21;84104.0;1707;881935.0;2021-05-31
AC;2021;24;708;22;84812.0;1729;881935.0;2021-06-07
AC;2021;25;571;7;85383.0;1736;881935.0;2021-06-14
AC;2021;26;488;10;85871.0;1746;881935.0;2021-06-21
AC;2021;27;583;20;86454.0;1766;881935.0;2021-06-28
AC;2021;28;210;10;86664.0;1776;881935.0;2021-07-05
AC;2021;29;272;20;86936.0;1796;881935.0;2021-07-12
AC;2021;30;205;3;87141.0;1799;881935.0;2021-07-19
AC;2021;31;248;5;87389.0;1804;881935.0;2021-07-26
AC;2021;32;98;3;87487.0;1807;881935.0;2021-08-02
AC;2021;33;191;2;87678.0;1809;881935.0;2021-08-09
AC;2021;34;124;4;87802.0;1813;881935.0;2021-08-16
AC;2021;35;73;1;87875.0;1814;881935.0;2021-08-23
AC;2021;36;32;2;87907.0;1816;881935.0;2021-08-30
AC;2021;37;23;1;87930.0;1817;881935.0;2021-09-06
AC;2021;38;8;19;87938.0;1836;881935.0;2021-09-13
AC;2021;39;-12;2;87940.0;1838;881935.0;2021-09-20
AC;2021;40;18;2;87944.0;1840;881935.0;2021-09-27
AC;2021;41;61;2;88005.0;1842;881935.0;2021-10-04
AC;2021;42;19;2;88024.0;1844;881935.0;2021-10-11
AC;2021;43;26;1;88050.0;1845;881935.0;2021-10-18
AC;2021;44;16;0;88066.0;1845;881935.0;2021-10-25
AC;2021;45;38;0;88104.0;1845;881935.0;2021-11-01
AC;2021;46;30;0;88134.0;1845;881935.0;2021-11-08
AC;2021;47;69;1;88203.0;1846;881935.0;2021-11-15
AC;2021;48;25;3;88228.0;1849;881935.0;2021-11-22
AC;2021;49;44;0;88272.0;1849;881935.0;2021-11-29
AC;2021;50;57;1;88329.0;1850;881935.0;2021-12-06
AC;2021;51;44;0;88373.0;1850;881935.0;2021-12-13
AC;2021;52;11;1;88384.0;1851;881935.0;2021-12-20
AC;2021;53;321;3;41941.0;798;881935.0;2020-12-28
AC;2022;1;17;1;88403.0;1852;881935.0;2021-12-27
AC;2022;2;1232;2;89635.0;1854;881935.0;2022-01-03
AC;2022;3;3898;1;93533.0;1855;881935.0;2022-01-10
AC;2022;4;4296;11;97829.0;1866;881935.0;2022-01-17
AC;2022;5;8045;28;105874.0;1894;881935.0;2022-01-24
AC;2022;6;4556;23;110430.0;1917;881935.0;2022-01-31
AC;2022;7;5792;36;116222.0;1953;881935.0;2022-02-07
AC;2022;8;4347;16;120569.0;1969;881935.0;2022-02-14
AC;2022;9;1949;11;122518.0;1980;881935.0;2022-02-21
AC;2022;10;852;8;123370.0;1988;881935.0;2022-02-28
AC;2022;11;297;2;123667.0;1990;881935.0;2022-03-07
AC;2022;12;110;2;123777.0;1992;881935.0;2022-03-14
AC;2022;13;36;1;123813.0;1993;881935.0;2022-03-21
AC;2022;14;12;2;123825.0;1995;881935.0;2022-03-28
AC;2022;15;529;1;124354.0;1996;881935.0;2022-04-04
AC;2022;16;279;2;124633.0;1998;881935.0;2022-04-11
AC;2022;17;288;4;124921.0;2002;881935.0;2022-04-18
