regiao;ano;semanaEpi;casosNovos;obitosNovos;casosAcumulado;obitosAcumulado;populacao;data_inicio
Centro-Oeste;2020;9;0;0;0.0;0;7018354.0;2020-02-24
Centro-Oeste;2020;10;1;0;1.0;0;7018354.0;2020-02-24
Centro-Oeste;2020;11;8;0;6.0;0;7018354.0;2020-03-02
Centro-Oeste;2020;12;129;0;100.0;0;7018354.0;2020-03-09
Centro-Oeste;2020;13;222;1;260.0;1;7018354.0;2020-03-16
Centro-Oeste;2020;14;317;10;454.0;7;7018354.0;2020-03-23
Centro-Oeste;2020;15;335;18;579.0;14;7018354.0;2020-03-30
Centro-Oeste;2020;16;462;23;762.0;24;7018354.0;2020-04-06
Centro-Oeste;2020;17;515;16;1013.0;26;7018354.0;2020-04-13
Centro-Oeste;2020;18;1030;16;1566.0;31;7018354.0;2020-04-20
Centro-Oeste;2020;19;1487;30;2576.0;47;7018354.0;2020-04-27
Centro-Oeste;2020;20;2656;55;4140.0;69;7018354.0;2020-05-04
Centro-Oeste;2020;21;3708;77;6251.0;95;7018354.0;2020-05-11
Centro-Oeste;2020;22;6009;116;9474.0;162;7018354.0;2020-05-18
Centro-Oeste;2020;23;10492;137;15850.0;208;7018354.0;2020-05-25
Centro-Oeste;2020;24;11359;226;21959.0;293;7018354.0;2020-06-01
Centro-Oeste;2020;25;22427;358;32238.0;404;7018354.0;2020-06-08
Centro-Oeste;2020;26;24447;488;42766.0;537;7018354.0;2020-06-15
Centro-Oeste;2020;27;28773;592;55760.0;755;7018354.0;2020-06-22
Centro-Oeste;2020;28;30427;734;68406.0;1029;7018354.0;2020-06-29
Centro-Oeste;2020;29;25867;778;81163.0;1305;7018354.0;2020-07-06
Centro-Oeste;2020;30;42267;836;94187.0;1566;7018354.0;2020-07-13
Centro-Oeste;2020;31;43000;903;107922.0;1849;7018354.0;2020-07-20
Centro-Oeste;2020;32;43950;859;121824.0;2061;7018354.0;2020-07-27
Centro-Oeste;2020;33;45367;888;135014.0;2319;7018354.0;2020-08-03
Centro-Oeste;2020;34;40228;1041;147127.0;2713;7018354.0;2020-08-10
Centro-Oeste;2020;35;42344;854;159526.0;3060;7018354.0;2020-08-17
Centro-Oeste;2020;36;39755;941;168605.0;3450;7018354.0;2020-08-24
Centro-Oeste;2020;37;33961;787;175646.0;3783;7018354.0;2020-08-31
